,val_loss,val_binary_accuracy,val_jaccard,val_dice,loss,binary_accuracy,jaccard,dice
0,1.085071563161035,0.726837029199645,0.5674224669384844,0.7100446926596019,0.6532383160665631,0.7608233466744423,0.6459374977275729,0.7692400328814983
1,0.5796445062462713,0.7284528397618325,0.7294269327266675,0.838397075872466,0.49751109909266233,0.7738673370331526,0.7175778429955244,0.8276289664208889
2,0.4708127583696249,0.729188750327473,0.762510489969746,0.8628547051702866,0.43422201089560986,0.7781753316521645,0.7500106710940599,0.85338981077075
3,0.6482917087178834,0.7293275194548665,0.6888795315939495,0.8046304049066535,0.41314970795065165,0.7780772242695093,0.7613077890127897,0.8609518352895975
4,0.4322749264363392,0.7293125460964973,0.765899593841302,0.8665304572929239,0.4240334602072835,0.77763507142663,0.7561432775110006,0.8575973939150572
5,0.5994906212802225,0.7262984693330219,0.702682677708881,0.8201645931727449,0.411739531904459,0.7781382780522108,0.7628746163100004,0.8618944436311722
6,0.6038603648333483,0.7296733262953065,0.7111607815178347,0.8214794444925908,0.40684071090072393,0.7760613150894642,0.7658888343721628,0.8647783994674683
7,0.5048636752115169,0.7294876958842569,0.7358786539292671,0.8442334748209922,0.3828417593613267,0.7808349952101707,0.7776976898312569,0.8732350096106529
8,0.434710873684413,0.7296650946979791,0.7596861554983076,0.8618020434894472,0.37234903685748577,0.7788059618324041,0.7839505020529032,0.8775603696703911
9,0.3851014305728142,0.7297806563511701,0.7868733683102568,0.8801476211055344,0.36780759133398533,0.7794005367904902,0.787122268229723,0.8796555865556002
10,0.3758141728634006,0.7293274156364477,0.7896908868646397,0.881838299578904,0.3629491087049246,0.7794265355914831,0.7895267810672522,0.8811927270144224
11,0.38414849026102416,0.7297268495873106,0.7908074550785369,0.8825397026930617,0.3645453676581383,0.7790524810552597,0.7887507509440184,0.8806743677705526
12,0.3998630014663571,0.7286357571821258,0.7856476645514439,0.8786765076744725,0.3641903968527913,0.7777790371328592,0.7898260373622179,0.881115023046732
13,0.36284918292587354,0.7293969269649524,0.7981569322062211,0.8872386054813582,0.35351629089564085,0.7821314297616482,0.79502491094172,0.8846308179199696
14,0.3476984226647677,0.7283761319420148,0.8094282917013751,0.8944176580984268,0.351180306635797,0.7810721322894096,0.796880442649126,0.8856416624039412
15,0.3612570565351298,0.7267632839825232,0.798939501455692,0.887743397497795,0.35386206209659576,0.7787987850606441,0.7956178244203329,0.8851052056998014
16,0.3623078892208601,0.7268279544624364,0.8061527122913952,0.8917859370159991,0.3467418169602752,0.7811959311366081,0.7980645913630724,0.8867672961205244
17,0.46838022341750596,0.7277804607516724,0.7643402288777168,0.8623768096798462,0.38466064259409904,0.7787618450820446,0.7797237802296877,0.873793862760067
18,0.3612698063324315,0.7268527480358249,0.8078804351914097,0.8932075746742213,0.36860736180096865,0.7790837753564119,0.7861932776868343,0.8788811340928078
19,0.3649271844138562,0.7286173284333637,0.7901561263021729,0.8823938576828146,0.3546641729772091,0.7811782751232386,0.7939198762178421,0.884086363017559
20,0.3617124290253635,0.7292915943642737,0.8031884946733573,0.8904737930902293,0.3513456992805004,0.78072789311409,0.7962036393582821,0.885429548099637
21,0.5238767138949023,0.7257752186255836,0.7472305723199262,0.8401433117512805,0.3662918461486697,0.777387909591198,0.7890182714909315,0.8807894960045815
22,0.35762236207863535,0.726782372579888,0.8082090269232021,0.893366772524068,0.35451135877519846,0.7801714316010475,0.7944536432623863,0.8845051731914282
23,0.421407658869112,0.7238458694426666,0.7737041233291089,0.8670746698066103,0.3502262653782964,0.7802094258368015,0.797133781015873,0.885928438976407
24,0.374741213142592,0.7245901895800667,0.7878983090740974,0.8803568639106034,0.3606053125113249,0.7775136735290289,0.7920769639313221,0.882344763725996
25,0.4752342057340022,0.722478857062792,0.7554428955199013,0.8569698714314492,0.3750141626223922,0.77986073307693,0.7835455555468798,0.8767823036760092
26,0.46488934783308716,0.7213998358574272,0.7781968785563546,0.8715010814263787,0.38631880562752485,0.7786738537251949,0.7776297591626644,0.8722013514488935
27,0.3589609441622882,0.7278171436327724,0.8057572365926465,0.8920281736503745,0.35740319080650806,0.7792534176260233,0.793062461540103,0.8836337886750698
28,0.35721637497485526,0.7286013353598509,0.8119676101935301,0.8956715517760443,0.3524812823161483,0.7804303262382746,0.7965583950281143,0.8853711448609829
29,0.3528990269826611,0.7283161377682932,0.8091295817648301,0.8940595500346081,0.3428713455796242,0.7803254574537277,0.8016179017722607,0.8890065662562847
30,0.3515254040838967,0.7282650434355221,0.8118564629218947,0.8957371706134277,0.34191332198679447,0.7800892647355795,0.802130188792944,0.889158520847559
31,0.3464907060766444,0.7279206307281351,0.8149039152082703,0.8973674429974086,0.33898414205759764,0.7802874948829412,0.8035313598811626,0.8901697676628828
32,0.34807205480029324,0.7275765985950058,0.8087469999778998,0.8937290545920251,0.3373790178447962,0.780691247433424,0.804127773270011,0.8907442223280668
33,0.3523122408020664,0.7272896990529808,0.8096219723773115,0.8943020810543651,0.33583352994173765,0.7806523367762566,0.8051329851150513,0.8913623988628387
34,0.36080939682996327,0.7264196279463074,0.8009928022751786,0.8869747368382735,0.3363025337457657,0.7798353116959333,0.8054823502898216,0.8913600016385317
35,0.3564772005652038,0.7285268491422626,0.8174307175645246,0.8989536364873251,0.34704973082989454,0.7802261989563704,0.798837112262845,0.8873419351875782
36,0.38484547465619906,0.7267484200392531,0.7923993017751846,0.8831476199794823,0.3633281113579869,0.7778191640973091,0.7903322484344244,0.8812905848026276
37,0.36050515023755353,0.7273582958839309,0.8024021915986504,0.890078497604585,0.3547260668128729,0.7797501627355814,0.7938788514584303,0.884011086076498
